&{51157672 折叠刀（★） | 澄澈之水 (崭新出厂) 1377.5}
&{811935420028289024 裹手（★） | 警告！ (破损不堪) 1419.5}
&{553465897 九头蛇手套（★） | 表面淬火 (久经沙场) 458.42}
&{25371 刺刀（★） | 北方森林 (久经沙场) 1274.5}
&{22506 AWP | 狮子之日 (略有磨损) 91.9}
&{157110582 印花 | 金佰利（全息） 18.87}
&{553454930 P250 | 生化短吻鳄 (久经沙场) 27.04}
&{553487705 骷髅匕首（★） | 表面淬火 (久经沙场) 3299.5}
&{553487670 骷髅匕首（★） | 狩猎网格 (久经沙场) 1609.5}
&{810953618759352320 运动手套（★） | 弹弓 (久经沙场) 4870}
&{120115169 印花 | 雪莉（全息） 26.9}
&{553489703 格洛克 18 型 | 子弹皇后 (久经沙场) 53.2}
&{553478846 锯齿爪刀（★） 2797}
&{553370868 USP 消音版 | 黑色魅影 (久经沙场) 96.5}
&{128868234 印花 | 伊维特（全息） 28.1}
&{553465869 M4A4 | 黑色魅影 (久经沙场) 34.15}
&{553412745 蝴蝶刀（★） | 外表生锈 (战痕累累) 4095}
&{23705 M4A1 消音型 | 暴怒野兽 (略有磨损) 219.6}
&{553454872 AK-47 | 皇后 (崭新出厂) 560.99}
&{553466029 驾驶手套（★） | 蓝紫格子 (略有磨损) 3699}
&{808799269767348224 AWP | 亡灵之主 (略有磨损) 17.53}
&{24476 M4A1 消音型 | 伊卡洛斯殒落 (崭新出厂) 2369}
&{553456597 R8 左轮手枪 | 美洲驼炮 (崭新出厂) 60}
&{553456318 M4A1 消音型 | 破碎铅秋 (战痕累累) 34.69}
&{958661081649799168 AK-47 | 夜愿 (崭新出厂) 628}
&{808912405923364864 裹手（★） | 蟒蛇 (久经沙场) 425}
&{915057745899954176 猎杀者匕首（★） | 澄澈之水 (久经沙场) 669.5}
&{808807503362260992 R8 左轮手枪 | 凤凰手迹 (略有磨损) 13}
&{27447 鲍伊猎刀（★） | 渐变之色 (崭新出厂) 1974.5}
&{553370939 蝴蝶刀（★） | 致命紫罗兰 (久经沙场) 4511.64}
&{24088 加利尔 AR | 火箭冰棒 (略有磨损) 12.79}
&{24709 爪子刀（★） | 深红之网 (久经沙场) 4748.49}
&{1019958173047070720 USP 消音版 | 印花集 (战痕累累) 306.48}
&{73593793 法玛斯 | 防滚架 (略有磨损) 35.5}
&{177809362 印花 | 塔玛拉（全息） 29.48}
&{553491615 XM1014 | 埋葬之影 (略有磨损) 39.8}
&{808850766135427072 FN57 | 童话城堡 (略有磨损) 121.79}
&{863700524583260160 加利尔 AR | 迷人眼 (久经沙场) 13.84}
&{553420197 暗影双匕（★） | 外表生锈 (战痕累累) 439}
&{553486396 流浪者匕首（★） | 都市伪装 (略有磨损) 1297}
&{236782590 刺刀（★） | 自动化 (略有磨损) 3450}
&{808806717525327872 M4A1 消音型 | 印花集 (久经沙场) 713.5}
&{808817239751131136 UMP-45 | 金铋辉煌 (略有磨损) 16}
&{1058109633855823872 印花 | OG（金色）| 2022年里约热内卢锦标赛 76.9}
&{26153 AK-47 | 混沌点阵 (崭新出厂) 156.66}
&{553482698 熊刀（★） | 大马士革钢 (久经沙场) 826.9}
&{84381395 Tec-9 | 燃料喷射器 (破损不堪) 14.56}
&{900113849755344896 音乐盒 | Laura Shigihara - 好好干，好好活 41.78}
&{553489612 SSG 08 | 浮生如梦 (略有磨损) 10.36}
&{553465901 AWP | 死神 (久经沙场) 11.99}
&{553461421 印花 | 剪纸GO（闪亮） 29.5}
&{24257 M4A1 消音型 | 氮化处理 (崭新出厂) 49.5}
&{553418288 弯刀（★） | 外表生锈 (战痕累累) 560.4}
&{553480461 沙漠之鹰 | 机械工业 (久经沙场) 29.3}
&{953517 AUG | 燕群 (略有磨损) 23.59}
&{553427161 AK-47 | 轨道 Mk01 (略有磨损) 64.77}
&{809976129099812866 AK-47 | X 射线 (久经沙场) 4118}
&{22403 MAC-10 | 孔雀石 (崭新出厂) 15.42}
&{863940158352392192 M4A4 | 活色生香 (略有磨损) 99.4}
&{22356 M4A4 | 狮鹫 (久经沙场) 19.26}
&{553466304 九头蛇手套（★） | 翡翠色调 (略有磨损) 644}
&{2616625 AWP | 火卫一 (崭新出厂) 12.58}
&{914660392192557056 MP9 | 富士山 (久经沙场) 10.52}
&{553489664 AK-47 | 幻影破坏者 (略有磨损) 46.5}
&{553468063 AK-47 | 霓虹骑士 (略有磨损) 343.89}
&{553482612 FN57 | 怒氓 (久经沙场) 26.99}
&{26666 M4A4 | 皇家圣骑士 (略有磨损) 130.45}
&{22721 格洛克 18 型 | 水灵 (久经沙场) 24.92}
&{23984 AWP | 珊瑚树 (略有磨损) 98.66}
&{553468085 AWP | 猫猫狗狗 (久经沙场) 10.5}
&{553461330 印花 | 锦上添花（闪亮） 18.97}
&{79549841 AK-47 | 霓虹革命 (久经沙场) 94.8}
