印花 | 巨龙传说 (闪亮):0.15518521:124.76:108
加利尔 AR | 凤凰冥灯 (久经沙场):0.14816967:197.6:172.1
沙漠之鹰 | 午夜凶匪 (崭新出厂):0.09604609:64.59:58.93
AUG | 变色龙 (久经 沙场):0.17480242:25.27:21.51
M4A4 | X 射线 (略有磨损):0.10349288:85.3:77.3
P2000 | 至尊威龙 (略有磨损):0.10580066:27.07:24.48
SG 553 | 意式拉力 (略有磨损):0.095454514:433.8:396
AK-47 | 荒野反叛 (略有磨损):0.115543835:317.93:285
M4A1 消音型 | 原子合金 (崭新出厂):0.12611568:681.3:605
USP 消音版 | 蓝图 (久经沙场):0.094457015:38.7:35.36
沙漠之鹰 | 黄金锦鲤 (崭新出厂):0.19602352:712.83:596
印花 | 独角兽（全息）:0.0914772:19.21:17.6
双持贝瑞塔 | 双涡轮 (略有磨损):0.1894605:56.88:47.82
P250 | 孟加拉猛虎 (略有磨损):0.1648544:59.99:51.5
沙漠之鹰 | 蛊惑之色 (崭新出厂):0.17514397:897.81:764
格洛克 18 型 | 皇家军团 (崭新出厂):0.101238616:40.9:37.14
AK-47 | 巴洛克之紫 (略有磨损):0.17193614:32.99:28.15
P2000 | 渐变琥珀 (久经沙场):0.12801573:51.9:46.01
内格夫 | 动力装载机 (崭新出厂):0.1315388:36.99:32.69
USP 消音版 | 蓝图 (崭新出厂):0.14932127:254:221
AK-47 | 夜愿 (破损不堪):0.10340779:93.9:85.1
M4A4 | 合纵 (破损不堪):0.092817694:79.12:72.4
FN57 | 表面淬火 (略有磨损):0.110264815:91.83:82.71
USP 消音版 | 银装素裹 (崭新出厂):0.08558559:964:888
法玛斯 | 熔化 (崭新出厂):0.119060345:209.6:187.3
SG 553 | 次时代 (久经沙场):0.142029:27.58:24.15
Tec-9 | 坍雪寒裘 (崭新出厂):0.17762516:24:20.38
MP9 | 气密 (略有磨损):0.116148554:25.85:23.16
M4A1 消音型 | 控制台 (崭新出厂):0.19783464:608.5:508
冬季攻势武器箱:0.15386765:41.17:35.68
印花 | 巨浪（全息）:0.17733528:76.88:65.3
AK-47 | 复古浪潮 (崭新出厂):0.10762918:59.38:53.61
